 2020-Sep-05 10:38 *m  244.2261  31.1128
 2020-Sep-05 10:40 *m  244.6433  30.7786
 2020-Sep-05 10:42 *m  245.0577  30.4433
 2020-Sep-05 10:44 *m  245.4694  30.1068
 2020-Sep-05 10:46 *m  245.8784  29.7693
 2020-Sep-05 10:48 *m  246.2847  29.4306
 2020-Sep-05 10:50 *m  246.6885  29.0909
 2020-Sep-05 10:52 *m  247.0898  28.7502
 2020-Sep-05 10:54 *m  247.4885  28.4085
 2020-Sep-05 10:56 *m  247.8848  28.0658
 2020-Sep-05 10:58 *m  248.2787  27.7221
 2020-Sep-05 11:00 *m  248.6703  27.3775
 2020-Sep-05 11:02 *m  249.0595  27.0319
 2020-Sep-05 11:04 *m  249.4464  26.6855
 2020-Sep-05 11:06 *m  249.8312  26.3382
 2020-Sep-05 11:08 *m  250.2137  25.9901
 2020-Sep-05 11:10 *m  250.5941  25.6411
 2020-Sep-05 11:12 *m  250.9724  25.2913
 2020-Sep-05 11:14 *m  251.3487  24.9408
 2020-Sep-05 11:16 *m  251.7229  24.5894
 2020-Sep-05 11:18 *m  252.0951  24.2374
 2020-Sep-05 11:20 *m  252.4655  23.8846
 2020-Sep-05 11:22 *m  252.8339  23.5310
 2020-Sep-05 11:24 *m  253.2005  23.1768
 2020-Sep-05 11:26 *m  253.5653  22.8220
 2020-Sep-05 11:28 *m  253.9282  22.4664
 2020-Sep-05 11:30 *m  254.2895  22.1103
 2020-Sep-05 11:32 *m  254.6491  21.7535
 2020-Sep-05 11:34 *m  255.0070  21.3961
 2020-Sep-05 11:36 *m  255.3632  21.0382
 2020-Sep-05 11:38 *m  255.7179  20.6797
 2020-Sep-05 11:40 *m  256.0711  20.3206
 2020-Sep-05 11:42 *m  256.4227  19.9610
 2020-Sep-05 11:44 *m  256.7729  19.6009
 2020-Sep-05 11:46 *m  257.1216  19.2403
 2020-Sep-05 11:48 *m  257.4689  18.8792
 2020-Sep-05 11:50 *m  257.8149  18.5176
 2020-Sep-05 11:52 *m  258.1595  18.1556
 2020-Sep-05 11:54 *m  258.5029  17.7932
 2020-Sep-05 11:56 *m  258.8449  17.4303
 2020-Sep-05 11:58 *m  259.1857  17.0671
 2020-Sep-05 12:00 *m  259.5254  16.7034
 2020-Sep-05 12:02 *m  259.8638  16.3394
 2020-Sep-05 12:04 *m  260.2012  15.9750
 2020-Sep-05 12:06 *m  260.5374  15.6103
 2020-Sep-05 12:08 *m  260.8726  15.2452
 2020-Sep-05 12:10 *m  261.2067  14.8798
 2020-Sep-05 12:12 *m  261.5399  14.5141
 2020-Sep-05 12:14 *m  261.8721  14.1482
 2020-Sep-05 12:16 *m  262.2033  13.7819
 2020-Sep-05 12:18 *m  262.5336  13.4154
 2020-Sep-05 12:20 *m  262.8631  13.0486
 2020-Sep-05 12:22 *m  263.1917  12.6817
 2020-Sep-05 12:24 *m  263.5195  12.3144
 2020-Sep-05 12:26 *m  263.8465  11.9470
 2020-Sep-05 12:28 *m  264.1727  11.5794
 2020-Sep-05 12:30 *m  264.4983  11.2116
 2020-Sep-05 12:32 *m  264.8231  10.8436
 2020-Sep-05 12:34 *m  265.1473  10.4755
 2020-Sep-05 12:36 *m  265.4708  10.1072
 2020-Sep-05 12:38 *m  265.7937   9.7388
 2020-Sep-05 12:40 *m  266.1161   9.3703
 2020-Sep-05 12:42 *m  266.4379   9.0016
 2020-Sep-05 12:44 *m  266.7591   8.6329
 2020-Sep-05 12:46 *m  267.0799   8.2641
 2020-Sep-05 12:48 *m  267.4002   7.8952
 2020-Sep-05 12:50 *m  267.7201   7.5262
 2020-Sep-05 12:52 *m  268.0396   7.1572
 2020-Sep-05 12:54 *m  268.3586   6.7882
 2020-Sep-05 12:56 *m  268.6774   6.4192
 2020-Sep-05 12:58 *m  268.9958   6.0501
 2020-Sep-05 13:00 *m  269.3139   5.6810
 2020-Sep-05 13:02 *m  269.6317   5.3120
 2020-Sep-05 13:04 *m  269.9493   4.9430
 2020-Sep-05 13:06 *m  270.2667   4.5740
 2020-Sep-05 13:08 *m  270.5839   4.2050
 2020-Sep-05 13:10 *m  270.9009   3.8361
 2020-Sep-05 13:12 *m  271.2178   3.4673
 2020-Sep-05 13:14 *m  271.5346   3.0986
 2020-Sep-05 13:16 *m  271.8512   2.7299
 2020-Sep-05 13:18 *m  272.1679   2.3614
 2020-Sep-05 13:20 *m  272.4845   1.9930
