 2017-Sep-05 10:40 *   264.2109 -11.5417
 2017-Sep-05 10:42 *   264.5184 -11.9063
 2017-Sep-05 10:44 *   264.8261 -12.2712
 2017-Sep-05 10:46 *   265.1340 -12.6362
 2017-Sep-05 10:48 *   265.4421 -13.0013
 2017-Sep-05 10:50 *   265.7505 -13.3665
 2017-Sep-05 10:52 *   266.0591 -13.7318
 2017-Sep-05 10:54 *   266.3680 -14.0973
 2017-Sep-05 10:56 *   266.6772 -14.4628
 2017-Sep-05 10:58 *   266.9868 -14.8284
 2017-Sep-05 11:00 *   267.2967 -15.1941
 2017-Sep-05 11:02 *   267.6070 -15.5599
 2017-Sep-05 11:04 *   267.9178 -15.9256
 2017-Sep-05 11:06 *   268.2290 -16.2915
 2017-Sep-05 11:08 *   268.5407 -16.6573
 2017-Sep-05 11:10 *   268.8529 -17.0232
 2017-Sep-05 11:12 *   269.1657 -17.3891
 2017-Sep-05 11:14 *   269.4790 -17.7549
 2017-Sep-05 11:16 *   269.7929 -18.1208
 2017-Sep-05 11:18 *   270.1075 -18.4866
 2017-Sep-05 11:20 *   270.4227 -18.8523
 2017-Sep-05 11:22 *   270.7386 -19.2181
 2017-Sep-05 11:24 *   271.0552 -19.5837
 2017-Sep-05 11:26 *   271.3726 -19.9493
 2017-Sep-05 11:28 *   271.6908 -20.3148
 2017-Sep-05 11:30 *   272.0097 -20.6802
 2017-Sep-05 11:32 *   272.3296 -21.0455
 2017-Sep-05 11:34 *   272.6503 -21.4106
 2017-Sep-05 11:36 *   272.9719 -21.7757
 2017-Sep-05 11:38 *   273.2945 -22.1405
 2017-Sep-05 11:40 *   273.6180 -22.5053
 2017-Sep-05 11:42 *   273.9426 -22.8698
 2017-Sep-05 11:44 *   274.2682 -23.2342
 2017-Sep-05 11:46 *   274.5949 -23.5984
 2017-Sep-05 11:48 *   274.9227 -23.9624
 2017-Sep-05 11:50 *   275.2516 -24.3261
 2017-Sep-05 11:52 *   275.5818 -24.6897
 2017-Sep-05 11:54 *   275.9132 -25.0529
 2017-Sep-05 11:56 *   276.2458 -25.4160
 2017-Sep-05 11:58 *   276.5797 -25.7787
 2017-Sep-05 12:00 *   276.9150 -26.1412
 2017-Sep-05 12:02 *   277.2517 -26.5034
 2017-Sep-05 12:04 *   277.5898 -26.8652
 2017-Sep-05 12:06 *   277.9293 -27.2268
 2017-Sep-05 12:08 *   278.2703 -27.5880
 2017-Sep-05 12:10 *   278.6129 -27.9488
 2017-Sep-05 12:12 *   278.9571 -28.3093
 2017-Sep-05 12:14 *   279.3029 -28.6694
 2017-Sep-05 12:16 *   279.6503 -29.0291
 2017-Sep-05 12:18 *   279.9995 -29.3883
 2017-Sep-05 12:20 *   280.3504 -29.7472
 2017-Sep-05 12:22 *   280.7031 -30.1056
 2017-Sep-05 12:24 *   281.0576 -30.4635
 2017-Sep-05 12:26 *   281.4141 -30.8210
 2017-Sep-05 12:28 *   281.7724 -31.1780
 2017-Sep-05 12:30 *   282.1328 -31.5345
 2017-Sep-05 12:32 *   282.4952 -31.8904
 2017-Sep-05 12:34 *   282.8597 -32.2458
 2017-Sep-05 12:36 *   283.2263 -32.6007
 2017-Sep-05 12:38 *   283.5950 -32.9550
 2017-Sep-05 12:40 *   283.9661 -33.3086
 2017-Sep-05 12:42 *   284.3394 -33.6617
 2017-Sep-05 12:44 *   284.7150 -34.0141
 2017-Sep-05 12:46 *   285.0930 -34.3659
 2017-Sep-05 12:48 *   285.4735 -34.7170
 2017-Sep-05 12:50 *   285.8565 -35.0674
 2017-Sep-05 12:52 *   286.2420 -35.4171
 2017-Sep-05 12:54 *   286.6302 -35.7661
 2017-Sep-05 12:56 *   287.0210 -36.1143
 2017-Sep-05 12:58 *   287.4146 -36.4618
 2017-Sep-05 13:00 *   287.8109 -36.8084
 2017-Sep-05 13:02 *   288.2102 -37.1542
 2017-Sep-05 13:04 *   288.6123 -37.4992
 2017-Sep-05 13:06 *   289.0174 -37.8434
 2017-Sep-05 13:08 *   289.4255 -38.1866
 2017-Sep-05 13:10 *   289.8368 -38.5290
 2017-Sep-05 13:12 *   290.2512 -38.8704
 2017-Sep-05 13:14 *   290.6689 -39.2108
 2017-Sep-05 13:16 *   291.0899 -39.5503
 2017-Sep-05 13:18 *   291.5143 -39.8887
 2017-Sep-05 13:20 *   291.9421 -40.2261
 2017-Sep-05 13:22 *   292.3734 -40.5625
 2017-Sep-05 13:24 *   292.8083 -40.8977
 2017-Sep-05 13:26 *   293.2469 -41.2318
 2017-Sep-05 13:28 *   293.6892 -41.5648
 2017-Sep-05 13:30 *   294.1353 -41.8966
 2017-Sep-05 13:32 *   294.5854 -42.2272
 2017-Sep-05 13:34 *   295.0394 -42.5566
 2017-Sep-05 13:36 *   295.4974 -42.8846
 2017-Sep-05 13:38 *   295.9596 -43.2114
 2017-Sep-05 13:40 *   296.4259 -43.5369
 2017-Sep-05 13:42 *   296.8966 -43.8609
 2017-Sep-05 13:44 *   297.3716 -44.1836
 2017-Sep-05 13:46 *   297.8511 -44.5048
 2017-Sep-05 13:48 *   298.3351 -44.8245
 2017-Sep-05 13:50 *   298.8237 -45.1428
 2017-Sep-05 13:52 *   299.3170 -45.4595
 2017-Sep-05 13:54 *   299.8152 -45.7745
 2017-Sep-05 13:56 *   300.3182 -46.0880
 2017-Sep-05 13:58 *   300.8262 -46.3998
 2017-Sep-05 14:00 *   301.3392 -46.7099
 2017-Sep-05 14:02 *   301.8574 -47.0182
 2017-Sep-05 14:04 *   302.3808 -47.3248
 2017-Sep-05 14:06 *   302.9095 -47.6295
 2017-Sep-05 14:08 *   303.4437 -47.9323
 2017-Sep-05 14:10 *   303.9834 -48.2332
 2017-Sep-05 14:12 *   304.5287 -48.5321
 2017-Sep-05 14:14 *   305.0796 -48.8290
 2017-Sep-05 14:16 *   305.6364 -49.1238
 2017-Sep-05 14:18 *   306.1990 -49.4165
 2017-Sep-05 14:20 *   306.7676 -49.7071
 2017-Sep-05 14:22 *   307.3423 -49.9954
 2017-Sep-05 14:24 *   307.9231 -50.2814
 2017-Sep-05 14:26 *   308.5102 -50.5652
 2017-Sep-05 14:28 *   309.1036 -50.8465
 2017-Sep-05 14:30 *   309.7034 -51.1254
 2017-Sep-05 14:32 *   310.3098 -51.4018
 2017-Sep-05 14:34 *   310.9227 -51.6756
 2017-Sep-05 14:36 *   311.5423 -51.9468
 2017-Sep-05 14:38 *   312.1687 -52.2154
 2017-Sep-05 14:40 *   312.8020 -52.4812
 2017-Sep-05 14:42 *   313.4421 -52.7442
 2017-Sep-05 14:44 *   314.0893 -53.0044
 2017-Sep-05 14:46 *   314.7436 -53.2616
 2017-Sep-05 14:48 *   315.4050 -53.5159
 2017-Sep-05 14:50 *   316.0737 -53.7670
 2017-Sep-05 14:52 *   316.7496 -54.0151
 2017-Sep-05 14:54 *   317.4329 -54.2600
 2017-Sep-05 14:56 *   318.1237 -54.5016
 2017-Sep-05 14:58 *   318.8219 -54.7398
 2017-Sep-05 15:00 *   319.5276 -54.9747
 2017-Sep-05 15:02 *   320.2409 -55.2061
 2017-Sep-05 15:04 *   320.9618 -55.4339
 2017-Sep-05 15:06 *   321.6903 -55.6581
 2017-Sep-05 15:08 *   322.4265 -55.8786
 2017-Sep-05 15:10 *   323.1704 -56.0954
 2017-Sep-05 15:12 *   323.9220 -56.3082
 2017-Sep-05 15:14 *   324.6813 -56.5172
 2017-Sep-05 15:16 *   325.4484 -56.7221
 2017-Sep-05 15:18 *   326.2232 -56.9230
 2017-Sep-05 15:20 *   327.0056 -57.1197
 2017-Sep-05 15:22 *   327.7958 -57.3122
 2017-Sep-05 15:24 *   328.5935 -57.5003
 2017-Sep-05 15:26 *   329.3989 -57.6841
 2017-Sep-05 15:28 *   330.2119 -57.8634
 2017-Sep-05 15:30 *   331.0323 -58.0381
 2017-Sep-05 15:32 *   331.8601 -58.2082
 2017-Sep-05 15:34 *   332.6953 -58.3736
 2017-Sep-05 15:36 *   333.5378 -58.5342
 2017-Sep-05 15:38 *   334.3873 -58.6900
 2017-Sep-05 15:40 *   335.2440 -58.8408
 2017-Sep-05 15:42 *   336.1075 -58.9867
 2017-Sep-05 15:44 *   336.9777 -59.1274
 2017-Sep-05 15:46 *   337.8546 -59.2630
 2017-Sep-05 15:48 *   338.7380 -59.3934
 2017-Sep-05 15:50 *   339.6276 -59.5184
 2017-Sep-05 15:52 *   340.5233 -59.6382
 2017-Sep-05 15:54 *   341.4249 -59.7525
 2017-Sep-05 15:56 *   342.3322 -59.8613
 2017-Sep-05 15:58 *   343.2450 -59.9645
 2017-Sep-05 16:00 *   344.1630 -60.0622
