 2018-Apr-01 09:06  m  237.3088  26.3635
 2018-Apr-01 09:08  m  237.7166  26.0435
 2018-Apr-01 09:10  m  238.1220  25.7221
 2018-Apr-01 09:12 Am  238.5249  25.3993
 2018-Apr-01 09:14 Am  238.9253  25.0753
 2018-Apr-01 09:16 Am  239.3233  24.7499
 2018-Apr-01 09:18 Am  239.7189  24.4233
 2018-Apr-01 09:20 Am  240.1122  24.0954
 2018-Apr-01 09:22 Am  240.5032  23.7662
 2018-Apr-01 09:24 Am  240.8918  23.4359
 2018-Apr-01 09:26 Am  241.2783  23.1044
 2018-Apr-01 09:28 Am  241.6625  22.7717
 2018-Apr-01 09:30 Am  242.0446  22.4379
 2018-Apr-01 09:32 Am  242.4245  22.1030
 2018-Apr-01 09:34 Am  242.8023  21.7669
 2018-Apr-01 09:36 Am  243.1781  21.4298
 2018-Apr-01 09:38 Am  243.5518  21.0916
 2018-Apr-01 09:40 Am  243.9235  20.7524
 2018-Apr-01 09:42 Am  244.2932  20.4122
 2018-Apr-01 09:44 Am  244.6610  20.0710
 2018-Apr-01 09:46 Nm  245.0269  19.7288
 2018-Apr-01 09:48 Nm  245.3910  19.3857
 2018-Apr-01 09:50 Nm  245.7531  19.0416
 2018-Apr-01 09:52 Nm  246.1135  18.6966
 2018-Apr-01 09:54 Nm  246.4721  18.3506
 2018-Apr-01 09:56 Nm  246.8290  18.0039
 2018-Apr-01 09:58 Nm  247.1841  17.6562
 2018-Apr-01 10:00 Nm  247.5376  17.3077
 2018-Apr-01 10:02 Nm  247.8894  16.9583
 2018-Apr-01 10:04 Nm  248.2396  16.6082
 2018-Apr-01 10:06 Nm  248.5882  16.2572
 2018-Apr-01 10:08 Nm  248.9352  15.9055
 2018-Apr-01 10:10 Nm  249.2808  15.5530
 2018-Apr-01 10:12 Nm  249.6248  15.1998
 2018-Apr-01 10:14 Nm  249.9674  14.8458
 2018-Apr-01 10:16 Nm  250.3085  14.4911
 2018-Apr-01 10:18 Cm  250.6483  14.1357
 2018-Apr-01 10:20 Cm  250.9866  13.7797
 2018-Apr-01 10:22 Cm  251.3236  13.4229
 2018-Apr-01 10:24 Cm  251.6593  13.0655
 2018-Apr-01 10:26 Cm  251.9938  12.7075
 2018-Apr-01 10:28 Cm  252.3269  12.3488
 2018-Apr-01 10:30 Cm  252.6589  11.9896
 2018-Apr-01 10:32 Cm  252.9896  11.6297
 2018-Apr-01 10:34 Cm  253.3192  11.2693
 2018-Apr-01 10:36 Cm  253.6476  10.9083
 2018-Apr-01 10:38 Cm  253.9749  10.5467
 2018-Apr-01 10:40 Cm  254.3011  10.1846
 2018-Apr-01 10:42 Cm  254.6263   9.8220
 2018-Apr-01 10:44 Cm  254.9504   9.4588
 2018-Apr-01 10:46 *m  255.2735   9.0952
 2018-Apr-01 10:48 *m  255.5957   8.7311
 2018-Apr-01 10:50 *m  255.9169   8.3665
 2018-Apr-01 10:52 *m  256.2372   8.0014
 2018-Apr-01 10:54 *m  256.5566   7.6359
 2018-Apr-01 10:56 *m  256.8751   7.2700
 2018-Apr-01 10:58 *m  257.1928   6.9036
 2018-Apr-01 11:00 *m  257.5097   6.5368
 2018-Apr-01 11:02 *m  257.8258   6.1697
 2018-Apr-01 11:04 *m  258.1411   5.8021
 2018-Apr-01 11:06 *m  258.4557   5.4342
 2018-Apr-01 11:08 *m  258.7696   5.0659
 2018-Apr-01 11:10 *m  259.0828   4.6972
 2018-Apr-01 11:12 *m  259.3954   4.3283
