 2023-Sep-01 09:58 Nm  243.9803  22.4791
 2023-Sep-01 10:00 Nm  244.3671  22.1508
 2023-Sep-01 10:02 Cm  244.7518  21.8213
 2023-Sep-01 10:04 Cm  245.1345  21.4908
 2023-Sep-01 10:06 Cm  245.5153  21.1593
 2023-Sep-01 10:08 Cm  245.8941  20.8268
 2023-Sep-01 10:10 Cm  246.2711  20.4932
 2023-Sep-01 10:12 Cm  246.6462  20.1587
 2023-Sep-01 10:14 Cm  247.0194  19.8232
 2023-Sep-01 10:16 Cm  247.3909  19.4869
 2023-Sep-01 10:18 Cm  247.7606  19.1496
 2023-Sep-01 10:20 Cm  248.1285  18.8114
 2023-Sep-01 10:22 Cm  248.4948  18.4723
 2023-Sep-01 10:24 Cm  248.8593  18.1324
 2023-Sep-01 10:26 Cm  249.2223  17.7916
 2023-Sep-01 10:28 Cm  249.5836  17.4500
 2023-Sep-01 10:30 *m  249.9433  17.1076
 2023-Sep-01 10:32 *m  250.3016  16.7645
 2023-Sep-01 10:34 *m  250.6582  16.4206
 2023-Sep-01 10:36 *m  251.0135  16.0759
 2023-Sep-01 10:38 *m  251.3672  15.7305
 2023-Sep-01 10:40 *m  251.7196  15.3844
 2023-Sep-01 10:42 *m  252.0705  15.0376
 2023-Sep-01 10:44 *m  252.4201  14.6901
 2023-Sep-01 10:46 *m  252.7684  14.3419
 2023-Sep-01 10:48 *m  253.1153  13.9931
 2023-Sep-01 10:50 *m  253.4610  13.6437
 2023-Sep-01 10:52 *m  253.8055  13.2936
 2023-Sep-01 10:54 *m  254.1487  12.9430
 2023-Sep-01 10:56 *m  254.4908  12.5918
 2023-Sep-01 10:58 *m  254.8317  12.2400
 2023-Sep-01 11:00 *m  255.1715  11.8876
 2023-Sep-01 11:02 *m  255.5101  11.5347
 2023-Sep-01 11:04 *m  255.8478  11.1813
 2023-Sep-01 11:06 *m  256.1844  10.8274
 2023-Sep-01 11:08 *m  256.5199  10.4730
 2023-Sep-01 11:10 *m  256.8545  10.1181
 2023-Sep-01 11:12 *m  257.1882   9.7627
 2023-Sep-01 11:14 *m  257.5209   9.4069
 2023-Sep-01 11:16 *m  257.8527   9.0507
 2023-Sep-01 11:18 *m  258.1837   8.6940
 2023-Sep-01 11:20 *m  258.5138   8.3369
 2023-Sep-01 11:22 *m  258.8431   7.9794
 2023-Sep-01 11:24 *m  259.1716   7.6215
 2023-Sep-01 11:26 *m  259.4994   7.2633
 2023-Sep-01 11:28 *m  259.8264   6.9047
 2023-Sep-01 11:30 *m  260.1527   6.5458
 2023-Sep-01 11:32 *m  260.4784   6.1865
 2023-Sep-01 11:34 *m  260.8034   5.8269
 2023-Sep-01 11:36 *m  261.1278   5.4670
 2023-Sep-01 11:38 *m  261.4515   5.1069
 2023-Sep-01 11:40 *m  261.7748   4.7464
 2023-Sep-01 11:42 *m  262.0974   4.3857
 2023-Sep-01 11:44 *m  262.4196   4.0247
 2023-Sep-01 11:46 *m  262.7412   3.6635
 2023-Sep-01 11:48 *m  263.0624   3.3020
 2023-Sep-01 11:50 *m  263.3832   2.9404
 2023-Sep-01 11:52 *m  263.7035   2.5785
 2023-Sep-01 11:54 *m  264.0235   2.2164
 2023-Sep-01 11:56 *m  264.3431   1.8542
 2023-Sep-01 11:58 *m  264.6624   1.4918
 2023-Sep-01 12:00 *m  264.9814   1.1292
 2023-Sep-01 12:02 *m  265.3001   0.7665
 2023-Sep-01 12:04 *m  265.6185   0.4037
 2023-Sep-01 12:06 *m  265.9367   0.0407
 2023-Sep-01 12:08 *m  266.2547  -0.3224
 2023-Sep-01 12:10 *m  266.5726  -0.6855
 2023-Sep-01 12:12 *s  266.8902  -1.0488
 2023-Sep-01 12:14 *   267.2078  -1.4121
 2023-Sep-01 12:16 *   267.5253  -1.7755
 2023-Sep-01 12:18 *   267.8427  -2.1390
 2023-Sep-01 12:20 *   268.1600  -2.5025
 2023-Sep-01 12:22 *   268.4773  -2.8660
 2023-Sep-01 12:24 *   268.7947  -3.2295
 2023-Sep-01 12:26 *   269.1120  -3.5930
 2023-Sep-01 12:28 *   269.4295  -3.9565
