*******************************************************************************
Ephemeris / WWW_USER Sun Dec  6 15:57:36 2015 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE-0431LE-0431}
Center body name: Earth (399)                     {source: DE-0431LE-0431}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2017-Mar-05 00:00:00.0000 UT      
Stop  time      : A.D. 2017-Jun-05 00:00:00.0000 UT      
Step-size       : 2 minutes
*******************************************************************************
Target pole/equ : IAU_MOON                        {East-longitude +}
Target radii    : 1737.4 x 1737.4 x 1737.4 km     {Equator, meridian, pole}    
Center geodetic : 284.844200,39.9494000,-1.01E-12 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 284.844200,4896.31709,4073.6801 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude +}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE-0431LE-0431}
Rel. light bend : Sun, EARTH                      {source: DE-0431LE-0431}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.151204.p160225                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2015-DEC-04. PREDICTS-> 2016-FEB-24
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
*******************************************************************************
 Date__(UT)__HR:MN     Azi_(a-appr)_Elev
****************************************
$$SOE
 2017-Mar-05 00:00 Am  222.9208  60.1097
 2017-Mar-05 08:22     319.6263 -23.2483
 2017-Mar-05 08:24     320.0532 -23.4822
 2017-Mar-05 08:26     320.4821 -23.7141
 2017-Mar-05 08:28     320.9131 -23.9437
 2017-Mar-05 08:30     321.3462 -24.1712
 2017-Mar-05 08:32     321.7814 -24.3966
 2017-Mar-05 08:34     322.2187 -24.6197
 2017-Mar-05 08:36     322.6581 -24.8405
 2017-Mar-05 08:38     323.0996 -25.0592
 2017-Mar-05 08:40     323.5432 -25.2755
 2017-Mar-05 08:42     323.9889 -25.4896
 2017-Mar-05 08:44     324.4368 -25.7013
 2017-Mar-05 08:46     324.8867 -25.9106
 2017-Mar-05 08:48     325.3388 -26.1176
 2017-Mar-05 08:50     325.7929 -26.3222
 2017-Mar-05 08:52     326.2492 -26.5244
 2017-Mar-05 08:54     326.7076 -26.7241
 2017-Mar-05 08:56     327.1681 -26.9214
 2017-Mar-05 08:58     327.6306 -27.1162
 2017-Mar-05 09:00     328.0953 -27.3084
 2017-Mar-05 09:02     328.5620 -27.4981
 2017-Mar-05 09:04     329.0309 -27.6853
 2017-Mar-05 09:06     329.5017 -27.8698
 2017-Mar-05 09:08     329.9747 -28.0518
 2017-Mar-05 09:10     330.4497 -28.2311
 2017-Mar-05 09:12     330.9267 -28.4078
 2017-Mar-05 09:14     331.4058 -28.5818
 2017-Mar-05 09:16     331.8869 -28.7531
 2017-Mar-05 09:18     332.3699 -28.9216
 2017-Mar-05 09:20     332.8550 -29.0874
 2017-Mar-05 09:22     333.3420 -29.2505
 2017-Mar-05 09:24     333.8310 -29.4107
 2017-Mar-05 09:26     334.3220 -29.5681
 2017-Mar-05 09:28     334.8148 -29.7227
 2017-Mar-05 09:30     335.3096 -29.8744
 2017-Mar-05 09:32     335.8062 -30.0233
 2017-Mar-05 09:34     336.3047 -30.1692
 2017-Mar-05 09:36     336.8050 -30.3122
 2017-Mar-05 09:38     337.3071 -30.4523
 2017-Mar-05 09:40     337.8111 -30.5894
 2017-Mar-05 09:42     338.3167 -30.7235
 2017-Mar-05 09:44     338.8242 -30.8545
 2017-Mar-05 09:46     339.3333 -30.9826
 2017-Mar-05 09:48     339.8441 -31.1076
 2017-Mar-05 09:50     340.3566 -31.2296
 2017-Mar-05 09:52     340.8706 -31.3484
 2017-Mar-05 09:54     341.3863 -31.4641
 2017-Mar-05 09:56     341.9035 -31.5767
 2017-Mar-05 09:58 A   342.4223 -31.6862
 2017-Mar-05 10:00 A   342.9425 -31.7925
 2017-Mar-05 10:02 A   343.4642 -31.8956
 2017-Mar-05 10:04 A   343.9873 -31.9955
 2017-Mar-05 10:06 A   344.5118 -32.0922
 2017-Mar-05 10:08 A   345.0376 -32.1857
 2017-Mar-05 10:10 A   345.5648 -32.2759
 2017-Mar-05 10:12 A   346.0932 -32.3629
 2017-Mar-05 10:14 A   346.6228 -32.4466
 2017-Mar-05 10:16 A   347.1535 -32.5270
 2017-Mar-05 10:18 A   347.6855 -32.6041
 2017-Mar-05 10:20 A   348.2185 -32.6778
 2017-Mar-05 10:22 A   348.7526 -32.7483
 2017-Mar-05 10:24 A   349.2876 -32.8154
 2017-Mar-05 10:26 A   349.8236 -32.8791
 2017-Mar-05 10:28 A   350.3606 -32.9394
 2017-Mar-05 10:30 N   350.8984 -32.9964
 2017-Mar-05 10:32 N   351.4370 -33.0500
 2017-Mar-05 10:34 N   351.9764 -33.1002
 2017-Mar-05 10:36 N   352.5165 -33.1470
 2017-Mar-05 10:38 N   353.0573 -33.1904
 2017-Mar-05 10:40 N   353.5987 -33.2303
 2017-Mar-05 10:42 N   354.1406 -33.2668
 2017-Mar-05 10:44 N   354.6831 -33.2999
 2017-Mar-05 10:46 N   355.2261 -33.3295
 2017-Mar-05 10:48 N   355.7694 -33.3557
 2017-Mar-05 10:50 N   356.3132 -33.3784
 2017-Mar-05 10:52 N   356.8572 -33.3977
 2017-Mar-05 10:54 N   357.4015 -33.4135
 2017-Mar-05 10:56 N   357.9460 -33.4259
 2017-Mar-05 10:58 N   358.4907 -33.4347
 2017-Mar-05 11:00 N   359.0355 -33.4401
 2017-Mar-05 11:02 C   359.5803 -33.4421
 2017-Mar-05 11:04 C     0.1251 -33.4405
 2017-Mar-05 11:06 C     0.6698 -33.4355
 2017-Mar-05 11:08 C     1.2145 -33.4270
 2017-Mar-05 11:10 C     1.7590 -33.4151
 2017-Mar-05 11:12 C     2.3032 -33.3996
 2017-Mar-05 11:14 C     2.8472 -33.3808
 2017-Mar-05 11:16 C     3.3909 -33.3584
 2017-Mar-05 11:18 C     3.9342 -33.3326
 2017-Mar-05 11:20 C     4.4770 -33.3034
 2017-Mar-05 11:22 C     5.0194 -33.2707
 2017-Mar-05 11:24 C     5.5613 -33.2346
 2017-Mar-05 11:26 C     6.1026 -33.1950
 2017-Mar-05 11:28 *     6.6432 -33.1520
 2017-Mar-05 11:30 *     7.1832 -33.1056
 2017-Mar-05 11:32 *     7.7224 -33.0558
 2017-Mar-05 11:34 *     8.2609 -33.0026
 2017-Mar-05 11:36 *     8.7985 -32.9459
 2017-Mar-05 11:38 *     9.3353 -32.8860
 2017-Mar-05 11:40 *     9.8711 -32.8226
 2017-Mar-05 11:42 *    10.4060 -32.7559
 2017-Mar-05 11:44 *    10.9399 -32.6858
 2017-Mar-05 11:46 *    11.4727 -32.6124
 2017-Mar-05 11:48 *    12.0043 -32.5357
 2017-Mar-05 11:50 *    12.5349 -32.4556
 2017-Mar-05 11:52 *    13.0642 -32.3723
 2017-Mar-05 11:54 *    13.5924 -32.2857
 2017-Mar-05 11:56 *    14.1192 -32.1958
 2017-Mar-05 11:58 *    14.6447 -32.1027
 2017-Mar-05 12:00 *    15.1689 -32.0063
 2017-Mar-05 12:02 *    15.6917 -31.9067
 2017-Mar-05 12:04 *    16.2131 -31.8040
 2017-Mar-05 12:06 *    16.7330 -31.6980
 2017-Mar-05 12:08 *    17.2514 -31.5889
 2017-Mar-05 12:10 *    17.7682 -31.4766
 2017-Mar-05 12:12 *    18.2835 -31.3611
 2017-Mar-05 12:14 *    18.7972 -31.2426
 2017-Mar-05 12:16 *    19.3092 -31.1210
 2017-Mar-05 12:18 *    19.8196 -30.9963
 2017-Mar-05 12:20 *    20.3283 -30.8685
 2017-Mar-05 12:22 *    20.8353 -30.7378
 2017-Mar-05 12:24 *    21.3405 -30.6040
 2017-Mar-05 12:26 *    21.8440 -30.4672
 2017-Mar-05 12:28 *    22.3456 -30.3274
 2017-Mar-05 12:30 *    22.8454 -30.1847
 2017-Mar-05 12:32 *    23.3434 -30.0390
 2017-Mar-05 12:34 *    23.8395 -29.8904
 2017-Mar-05 12:36 *    24.3336 -29.7390
 2017-Mar-05 12:38 *    24.8259 -29.5847
 2017-Mar-05 12:40 *    25.3163 -29.4275
 2017-Mar-05 12:42 *    25.8046 -29.2675
 2017-Mar-05 12:44 *    26.2911 -29.1047
 2017-Mar-05 12:46 *    26.7755 -28.9392
 2017-Mar-05 12:48 *    27.2579 -28.7709
 2017-Mar-05 12:50 *    27.7383 -28.5998
 2017-Mar-05 12:52 *    28.2167 -28.4261
 2017-Mar-05 12:54 *    28.6930 -28.2496
 2017-Mar-05 12:56 *    29.1673 -28.0705
 2017-Mar-05 12:58 *    29.6395 -27.8888
 2017-Mar-05 13:00 *    30.1096 -27.7044
 2017-Mar-05 13:02 *    30.5776 -27.5175
 2017-Mar-05 13:04 *    31.0435 -27.3279
 2017-Mar-05 13:06 *    31.5074 -27.1359
 2017-Mar-05 13:08 *    31.9691 -26.9413
