 2017-Sep-01 08:08     263.8915 -24.3968
 2017-Sep-01 08:10     264.1854 -24.7630
 2017-Sep-01 08:12     264.4799 -25.1294
 2017-Sep-01 08:14     264.7750 -25.4959
 2017-Sep-01 08:16     265.0707 -25.8626
 2017-Sep-01 08:18     265.3670 -26.2294
 2017-Sep-01 08:20     265.6640 -26.5963
 2017-Sep-01 08:22     265.9617 -26.9633
 2017-Sep-01 08:24     266.2601 -27.3304
 2017-Sep-01 08:26     266.5593 -27.6976
 2017-Sep-01 08:28     266.8594 -28.0649
 2017-Sep-01 08:30     267.1602 -28.4323
 2017-Sep-01 08:32     267.4619 -28.7997
 2017-Sep-01 08:34     267.7646 -29.1672
 2017-Sep-01 08:36     268.0681 -29.5347
 2017-Sep-01 08:38     268.3727 -29.9023
 2017-Sep-01 08:40     268.6782 -30.2699
 2017-Sep-01 08:42     268.9848 -30.6375
 2017-Sep-01 08:44     269.2925 -31.0050
 2017-Sep-01 08:46     269.6014 -31.3726
 2017-Sep-01 08:48     269.9113 -31.7402
 2017-Sep-01 08:50     270.2225 -32.1077
 2017-Sep-01 08:52     270.5350 -32.4752
 2017-Sep-01 08:54 A   270.8487 -32.8427
 2017-Sep-01 08:56 A   271.1637 -33.2101
 2017-Sep-01 08:58 A   271.4801 -33.5774
 2017-Sep-01 09:00 A   271.7980 -33.9446
 2017-Sep-01 09:02 A   272.1173 -34.3117
 2017-Sep-01 09:04 A   272.4381 -34.6787
 2017-Sep-01 09:06 A   272.7604 -35.0456
 2017-Sep-01 09:08 A   273.0843 -35.4124
 2017-Sep-01 09:10 A   273.4099 -35.7790
 2017-Sep-01 09:12 A   273.7372 -36.1455
 2017-Sep-01 09:14 A   274.0662 -36.5118
 2017-Sep-01 09:16 A   274.3970 -36.8779
 2017-Sep-01 09:18 A   274.7297 -37.2438
 2017-Sep-01 09:20 A   275.0643 -37.6096
 2017-Sep-01 09:22 A   275.4008 -37.9751
 2017-Sep-01 09:24 A   275.7393 -38.3403
 2017-Sep-01 09:26 A   276.0799 -38.7053
 2017-Sep-01 09:28 N   276.4227 -39.0701
 2017-Sep-01 09:30 N   276.7676 -39.4346
 2017-Sep-01 09:32 N   277.1148 -39.7988
 2017-Sep-01 09:34 N   277.4642 -40.1626
 2017-Sep-01 09:36 N   277.8161 -40.5262
 2017-Sep-01 09:38 N   278.1704 -40.8894
 2017-Sep-01 09:40 N   278.5272 -41.2523
 2017-Sep-01 09:42 N   278.8866 -41.6148
 2017-Sep-01 09:44 N   279.2486 -41.9769
 2017-Sep-01 09:46 N   279.6133 -42.3386
 2017-Sep-01 09:48 N   279.9809 -42.6999
 2017-Sep-01 09:50 N   280.3513 -43.0608
 2017-Sep-01 09:52 N   280.7246 -43.4212
 2017-Sep-01 09:54 N   281.1010 -43.7811
 2017-Sep-01 09:56 N   281.4804 -44.1405
 2017-Sep-01 09:58 N   281.8631 -44.4995
 2017-Sep-01 10:00 N   282.2490 -44.8578
 2017-Sep-01 10:02 C   282.6383 -45.2157
 2017-Sep-01 10:04 C   283.0310 -45.5729
 2017-Sep-01 10:06 C   283.4272 -45.9296
 2017-Sep-01 10:08 C   283.8271 -46.2857
 2017-Sep-01 10:10 C   284.2307 -46.6411
 2017-Sep-01 10:12 C   284.6382 -46.9958
 2017-Sep-01 10:14 C   285.0495 -47.3499
 2017-Sep-01 10:16 C   285.4649 -47.7032
 2017-Sep-01 10:18 C   285.8845 -48.0558
 2017-Sep-01 10:20 C   286.3082 -48.4077
 2017-Sep-01 10:22 C   286.7364 -48.7587
 2017-Sep-01 10:24 C   287.1690 -49.1090
 2017-Sep-01 10:26 C   287.6061 -49.4583
 2017-Sep-01 10:28 C   288.0480 -49.8069
 2017-Sep-01 10:30 *   288.4947 -50.1545
 2017-Sep-01 10:32 *   288.9464 -50.5012
 2017-Sep-01 10:34 *   289.4032 -50.8469
 2017-Sep-01 10:36 *   289.8651 -51.1916
 2017-Sep-01 10:38 *   290.3325 -51.5353
 2017-Sep-01 10:40 *   290.8053 -51.8779
 2017-Sep-01 10:42 *   291.2838 -52.2194
 2017-Sep-01 10:44 *   291.7680 -52.5598
 2017-Sep-01 10:46 *   292.2582 -52.8990
 2017-Sep-01 10:48 *   292.7544 -53.2370
 2017-Sep-01 10:50 *   293.2569 -53.5737
 2017-Sep-01 10:52 *   293.7658 -53.9091
 2017-Sep-01 10:54 *   294.2813 -54.2432
 2017-Sep-01 10:56 *   294.8035 -54.5759
 2017-Sep-01 10:58 *   295.3327 -54.9072
 2017-Sep-01 11:00 *   295.8689 -55.2370
 2017-Sep-01 11:02 *   296.4124 -55.5653
 2017-Sep-01 11:04 *   296.9633 -55.8920
 2017-Sep-01 11:06 *   297.5219 -56.2170
 2017-Sep-01 11:08 *   298.0883 -56.5404
 2017-Sep-01 11:10 *   298.6627 -56.8621
 2017-Sep-01 11:12 *   299.2454 -57.1820
 2017-Sep-01 11:14 *   299.8365 -57.5000
 2017-Sep-01 11:16 *   300.4363 -57.8161
 2017-Sep-01 11:18 *   301.0449 -58.1302
 2017-Sep-01 11:20 *   301.6625 -58.4423
 2017-Sep-01 11:22 *   302.2895 -58.7523
 2017-Sep-01 11:24 *   302.9260 -59.0602
 2017-Sep-01 11:26 *   303.5722 -59.3657
 2017-Sep-01 11:28 *   304.2284 -59.6690
 2017-Sep-01 11:30 *   304.8947 -59.9699
 2017-Sep-01 11:32 *   305.5715 -60.2683
 2017-Sep-01 11:34 *   306.2590 -60.5641
 2017-Sep-01 11:36 *   306.9574 -60.8574
 2017-Sep-01 11:38 *   307.6668 -61.1479
 2017-Sep-01 11:40 *   308.3877 -61.4356
 2017-Sep-01 11:42 *   309.1202 -61.7204
 2017-Sep-01 11:44 *   309.8645 -62.0022
 2017-Sep-01 11:46 *   310.6210 -62.2810
 2017-Sep-01 11:48 *   311.3897 -62.5565
 2017-Sep-01 11:50 *   312.1710 -62.8288
 2017-Sep-01 11:52 *   312.9651 -63.0977
 2017-Sep-01 11:54 *   313.7722 -63.3631
 2017-Sep-01 11:56 *   314.5926 -63.6248
 2017-Sep-01 11:58 *   315.4264 -63.8829
 2017-Sep-01 12:00 *   316.2739 -64.1371
 2017-Sep-01 12:02 *   317.1352 -64.3874
 2017-Sep-01 12:04 *   318.0105 -64.6336
 2017-Sep-01 12:06 *   318.9001 -64.8756
 2017-Sep-01 12:08 *   319.8041 -65.1133
 2017-Sep-01 12:10 *   320.7226 -65.3466
 2017-Sep-01 12:12 *   321.6558 -65.5752
 2017-Sep-01 12:14 *   322.6038 -65.7992
 2017-Sep-01 12:16 *   323.5666 -66.0182
 2017-Sep-01 12:18 *   324.5444 -66.2323
 2017-Sep-01 12:20 *   325.5372 -66.4413
 2017-Sep-01 12:22 *   326.5451 -66.6450
 2017-Sep-01 12:24 *   327.5680 -66.8433
 2017-Sep-01 12:26 *   328.6059 -67.0360
 2017-Sep-01 12:28 *   329.6588 -67.2230
 2017-Sep-01 12:30 *   330.7265 -67.4042
 2017-Sep-01 12:32 *   331.8090 -67.5794
 2017-Sep-01 12:34 *   332.9061 -67.7484
 2017-Sep-01 12:36 *   334.0175 -67.9112
 2017-Sep-01 12:38 *   335.1430 -68.0676
 2017-Sep-01 12:40 *   336.2824 -68.2174
 2017-Sep-01 12:42 *   337.4354 -68.3605
 2017-Sep-01 12:44 *   338.6015 -68.4967
 2017-Sep-01 12:46 *   339.7803 -68.6260
 2017-Sep-01 12:48 *   340.9715 -68.7482
 2017-Sep-01 12:50 *   342.1745 -68.8632
 2017-Sep-01 12:52 *   343.3887 -68.9709
 2017-Sep-01 12:54 *   344.6136 -69.0710
 2017-Sep-01 12:56 *   345.8485 -69.1636
 2017-Sep-01 12:58 *   347.0928 -69.2486
 2017-Sep-01 13:00 *   348.3458 -69.3258
 2017-Sep-01 13:02 *   349.6068 -69.3951
 2017-Sep-01 13:04 *   350.8748 -69.4565
 2017-Sep-01 13:06 *   352.1492 -69.5098
 2017-Sep-01 13:08 *   353.4291 -69.5551
 2017-Sep-01 13:10 *   354.7136 -69.5923
 2017-Sep-01 13:12 *   356.0018 -69.6213
 2017-Sep-01 13:14 *   357.2928 -69.6421
 2017-Sep-01 13:16 *   358.5858 -69.6547
 2017-Sep-01 13:18 *   359.8796 -69.6591
 2017-Sep-01 13:20 *     1.1736 -69.6551
 2017-Sep-01 13:22 *     2.4666 -69.6430
 2017-Sep-01 13:24 *     3.7577 -69.6226
 2017-Sep-01 13:26 *     5.0461 -69.5939
 2017-Sep-01 13:28 *     6.3309 -69.5572
 2017-Sep-01 13:30 *     7.6110 -69.5122
 2017-Sep-01 13:32 *     8.8857 -69.4592
 2017-Sep-01 13:34 *    10.1542 -69.3982
 2017-Sep-01 13:36 *    11.4155 -69.3293
 2017-Sep-01 13:38 *    12.6690 -69.2525
 2017-Sep-01 13:40 *    13.9138 -69.1679
 2017-Sep-01 13:42 *    15.1493 -69.0757
 2017-Sep-01 13:44 *    16.3748 -68.9759
 2017-Sep-01 13:46 *    17.5896 -68.8686
 2017-Sep-01 13:48 *    18.7932 -68.7539
 2017-Sep-01 13:50 *    19.9851 -68.6320
 2017-Sep-01 13:52 *    21.1646 -68.5031
 2017-Sep-01 13:54 *    22.3315 -68.3671
 2017-Sep-01 13:56 *    23.4851 -68.2243
 2017-Sep-01 13:58 *    24.6253 -68.0748
 2017-Sep-01 14:00 *    25.7517 -67.9187
 2017-Sep-01 14:02 *    26.8639 -67.7562
 2017-Sep-01 14:04 *    27.9617 -67.5874
 2017-Sep-01 14:06 *    29.0450 -67.4125
 2017-Sep-01 14:08 *    30.1136 -67.2315
 2017-Sep-01 14:10 *    31.1672 -67.0447
 2017-Sep-01 14:12 *    32.2060 -66.8522
 2017-Sep-01 14:14 *    33.2297 -66.6541
 2017-Sep-01 14:16 *    34.2384 -66.4506
 2017-Sep-01 14:18 *    35.2320 -66.2418
 2017-Sep-01 14:20 *    36.2107 -66.0279
 2017-Sep-01 14:22 *    37.1743 -65.8090
 2017-Sep-01 14:24 *    38.1231 -65.5852
 2017-Sep-01 14:26 *    39.0571 -65.3567
 2017-Sep-01 14:28 *    39.9763 -65.1235
 2017-Sep-01 14:30 *    40.8811 -64.8860
 2017-Sep-01 14:32 *    41.7714 -64.6441
 2017-Sep-01 14:34 *    42.6475 -64.3979
 2017-Sep-01 14:36 *    43.5096 -64.1477
 2017-Sep-01 14:38 *    44.3577 -63.8936
 2017-Sep-01 14:40 *    45.1922 -63.6356
 2017-Sep-01 14:42 *    46.0133 -63.3738
 2017-Sep-01 14:44 *    46.8211 -63.1085
 2017-Sep-01 14:46 *    47.6158 -62.8396
 2017-Sep-01 14:48 *    48.3978 -62.5674
 2017-Sep-01 14:50 *    49.1671 -62.2919
 2017-Sep-01 14:52 *    49.9242 -62.0131
 2017-Sep-01 14:54 *    50.6691 -61.7313
 2017-Sep-01 14:56 *    51.4021 -61.4465
 2017-Sep-01 14:58 *    52.1236 -61.1587
 2017-Sep-01 15:00 *    52.8336 -60.8682
 2017-Sep-01 15:02 *    53.5325 -60.5749
 2017-Sep-01 15:04 *    54.2204 -60.2790
 2017-Sep-01 15:06 *    54.8977 -59.9805
 2017-Sep-01 15:08 *    55.5645 -59.6796
 2017-Sep-01 15:10 *    56.2212 -59.3763
 2017-Sep-01 15:12 *    56.8678 -59.0706
 2017-Sep-01 15:14 *    57.5047 -58.7627
 2017-Sep-01 15:16 *    58.1321 -58.4526
 2017-Sep-01 15:18 *    58.7501 -58.1404
 2017-Sep-01 15:20 *    59.3591 -57.8261
 2017-Sep-01 15:22 *    59.9592 -57.5099
 2017-Sep-01 15:24 *    60.5506 -57.1917
 2017-Sep-01 15:26 *    61.1336 -56.8717
 2017-Sep-01 15:28 *    61.7084 -56.5499
 2017-Sep-01 15:30 *    62.2751 -56.2264
 2017-Sep-01 15:32 *    62.8339 -55.9011
 2017-Sep-01 15:34 *    63.3851 -55.5743
 2017-Sep-01 15:36 *    63.9289 -55.2458
 2017-Sep-01 15:38 *    64.4653 -54.9158
 2017-Sep-01 15:40 *    64.9947 -54.5844
 2017-Sep-01 15:42 *    65.5171 -54.2515
 2017-Sep-01 15:44 *    66.0328 -53.9172
 2017-Sep-01 15:46 *    66.5419 -53.5815
 2017-Sep-01 15:48 *    67.0445 -53.2446
 2017-Sep-01 15:50 *    67.5410 -52.9064
 2017-Sep-01 15:52 *    68.0313 -52.5670
 2017-Sep-01 15:54 *    68.5156 -52.2263
 2017-Sep-01 15:56 *    68.9942 -51.8846
 2017-Sep-01 15:58 *    69.4672 -51.5417
 2017-Sep-01 16:00 *    69.9346 -51.1978
 2017-Sep-01 16:02 *    70.3967 -50.8528
 2017-Sep-01 16:04 *    70.8535 -50.5068
 2017-Sep-01 16:06 *    71.3052 -50.1599
 2017-Sep-01 16:08 *    71.7520 -49.8120
 2017-Sep-01 16:10 *    72.1939 -49.4632
 2017-Sep-01 16:12 *    72.6311 -49.1135
 2017-Sep-01 16:14 *    73.0638 -48.7630
 2017-Sep-01 16:16 *    73.4919 -48.4116
 2017-Sep-01 16:18 *    73.9157 -48.0594
 2017-Sep-01 16:20 *    74.3352 -47.7065
 2017-Sep-01 16:22 *    74.7506 -47.3528
 2017-Sep-01 16:24 *    75.1619 -46.9985
 2017-Sep-01 16:26 *    75.5693 -46.6434
 2017-Sep-01 16:28 *    75.9729 -46.2876
 2017-Sep-01 16:30 *    76.3727 -45.9312
