 2020-Dec-05 12:26 *m  261.0075  43.2255
 2020-Dec-05 12:28 *m  261.3667  42.8533
 2020-Dec-05 12:30 *m  261.7232  42.4807
 2020-Dec-05 12:32 *m  262.0768  42.1079
 2020-Dec-05 12:34 *m  262.4278  41.7348
 2020-Dec-05 12:36 *m  262.7762  41.3614
 2020-Dec-05 12:38 *m  263.1221  40.9877
 2020-Dec-05 12:40 *m  263.4655  40.6138
 2020-Dec-05 12:42 *m  263.8065  40.2397
 2020-Dec-05 12:44 *m  264.1452  39.8654
 2020-Dec-05 12:46 *m  264.4816  39.4909
 2020-Dec-05 12:48 *m  264.8158  39.1162
 2020-Dec-05 12:50 *m  265.1479  38.7414
 2020-Dec-05 12:52 *m  265.4779  38.3664
 2020-Dec-05 12:54 *m  265.8059  37.9912
 2020-Dec-05 12:56 *m  266.1320  37.6160
 2020-Dec-05 12:58 *m  266.4561  37.2406
 2020-Dec-05 13:00 *m  266.7784  36.8651
 2020-Dec-05 13:02 *m  267.0989  36.4896
 2020-Dec-05 13:04 *m  267.4177  36.1139
 2020-Dec-05 13:06 *m  267.7348  35.7383
 2020-Dec-05 13:08 *m  268.0502  35.3625
 2020-Dec-05 13:10 *m  268.3641  34.9867
 2020-Dec-05 13:12 *m  268.6764  34.6109
 2020-Dec-05 13:14 *m  268.9872  34.2351
 2020-Dec-05 13:16 *m  269.2966  33.8593
 2020-Dec-05 13:18 *m  269.6045  33.4835
 2020-Dec-05 13:20 *m  269.9111  33.1077
 2020-Dec-05 13:22 *m  270.2164  32.7320
 2020-Dec-05 13:24 *m  270.5204  32.3562
 2020-Dec-05 13:26 *m  270.8232  31.9806
 2020-Dec-05 13:28 *m  271.1248  31.6050
 2020-Dec-05 13:30 *m  271.4252  31.2294
 2020-Dec-05 13:32 *m  271.7246  30.8540
 2020-Dec-05 13:34 *m  272.0228  30.4786
 2020-Dec-05 13:36 *m  272.3200  30.1033
 2020-Dec-05 13:38 *m  272.6162  29.7282
 2020-Dec-05 13:40 *m  272.9115  29.3531
 2020-Dec-05 13:42 *m  273.2058  28.9782
 2020-Dec-05 13:44 *m  273.4993  28.6035
 2020-Dec-05 13:46 *m  273.7918  28.2288
 2020-Dec-05 13:48 *m  274.0836  27.8544
 2020-Dec-05 13:50 *m  274.3746  27.4801
 2020-Dec-05 13:52 *m  274.6648  27.1060
