 20220101 23:12    257.5332 -27.7315
 20220101 23:14    257.7987 -28.0874
 20220101 23:16    258.0644 -28.4436
 20220101 23:18    258.3304 -28.8001
 20220101 23:20    258.5966 -29.1569
 20220101 23:22    258.8632 -29.5141
 20220101 23:24     259.1301 -29.8715
 20220101 23:26     259.3973 -30.2291
 20220101 23:28     259.6650 -30.5871
 20220101 23:30     259.9330 -30.9453
 20220101 23:32     260.2015 -31.3038
 20220101 23:34     260.4704 -31.6625
 20220101 23:36     260.7398 -32.0215
 20220101 23:38     261.0098 -32.3807
 20220101 23:40     261.2802 -32.7402
 20220101 23:42     261.5513 -33.0998
 20220101 23:44     261.8229 -33.4597
