 2017-Sep-05 12:02 *   275.7690 -24.3867
 2017-Sep-05 12:04 *   276.1056 -24.7454
 2017-Sep-05 12:06 *   276.4435 -25.1039
 2017-Sep-05 12:08 *   276.7827 -25.4621
 2017-Sep-05 12:10 *   277.1232 -25.8200
 2017-Sep-05 12:12 *   277.4650 -26.1776
 2017-Sep-05 12:14 *   277.8083 -26.5349
 2017-Sep-05 12:16 *   278.1530 -26.8919
 2017-Sep-05 12:18 *   278.4992 -27.2485
 2017-Sep-05 12:20 *   278.8470 -27.6047
 2017-Sep-05 12:22 *   279.1963 -27.9606
 2017-Sep-05 12:24 *   279.5471 -28.3160
 2017-Sep-05 12:26 *   279.8997 -28.6711
 2017-Sep-05 12:28 *   280.2539 -29.0258
 2017-Sep-05 12:30 *   280.6099 -29.3800
 2017-Sep-05 12:32 *   280.9676 -29.7337
 2017-Sep-05 12:34 *   281.3272 -30.0870
 2017-Sep-05 12:36 *   281.6886 -30.4398
 2017-Sep-05 12:38 *   282.0519 -30.7921
 2017-Sep-05 12:40 *   282.4172 -31.1439
 2017-Sep-05 12:42 *   282.7845 -31.4951
 2017-Sep-05 12:44 *   283.1539 -31.8458
 2017-Sep-05 12:46 *   283.5253 -32.1959
 2017-Sep-05 12:48 *   283.8989 -32.5454
 2017-Sep-05 12:50 *   284.2747 -32.8943
 2017-Sep-05 12:52 *   284.6527 -33.2426
 2017-Sep-05 12:54 *   285.0331 -33.5903
 2017-Sep-05 12:56 *   285.4157 -33.9372
 2017-Sep-05 12:58 *   285.8008 -34.2835
 2017-Sep-05 13:00 *   286.1884 -34.6291
 2017-Sep-05 13:02 *   286.5785 -34.9740
 2017-Sep-05 13:04 *   286.9711 -35.3181
 2017-Sep-05 13:06 *   287.3664 -35.6615
 2017-Sep-05 13:08 *   287.7643 -36.0041
 2017-Sep-05 13:10 *   288.1650 -36.3458
 2017-Sep-05 13:12 *   288.5685 -36.6868
 2017-Sep-05 13:14 *   288.9748 -37.0268
 2017-Sep-05 13:16 *   289.3840 -37.3660
 2017-Sep-05 13:18 *   289.7963 -37.7044
 2017-Sep-05 13:20 *   290.2115 -38.0417
 2017-Sep-05 13:22 *   290.6299 -38.3782
 2017-Sep-05 13:24 *   291.0514 -38.7136
 2017-Sep-05 13:26 *   291.4762 -39.0481
 2017-Sep-05 13:28 *   291.9043 -39.3815
 2017-Sep-05 13:30 *   292.3357 -39.7139
 2017-Sep-05 13:32 *   292.7705 -40.0452
 2017-Sep-05 13:34 *   293.2089 -40.3754
 2017-Sep-05 13:36 *   293.6508 -40.7045
 2017-Sep-05 13:38 *   294.0964 -41.0324
 2017-Sep-05 13:40 *   294.5457 -41.3591
 2017-Sep-05 13:42 *   294.9987 -41.6846
 2017-Sep-05 13:44 *   295.4556 -42.0089
 2017-Sep-05 13:46 *   295.9165 -42.3318
 2017-Sep-05 13:48 *   296.3813 -42.6535
 2017-Sep-05 13:50 *   296.8502 -42.9738
 2017-Sep-05 13:52 *   297.3233 -43.2927
 2017-Sep-05 13:54 *   297.8006 -43.6102
 2017-Sep-05 13:56 *   298.2822 -43.9262
 2017-Sep-05 13:58 *   298.7682 -44.2408
 2017-Sep-05 14:00 *   299.2587 -44.5538
 2017-Sep-05 14:02 *   299.7537 -44.8653
 2017-Sep-05 14:04 *   300.2534 -45.1752
 2017-Sep-05 14:06 *   300.7577 -45.4835
 2017-Sep-05 14:08 *   301.2669 -45.7900
 2017-Sep-05 14:10 *   301.7809 -46.0949
 2017-Sep-05 14:12 *   302.2998 -46.3980
 2017-Sep-05 14:14 *   302.8239 -46.6994
 2017-Sep-05 14:16 *   303.3530 -46.9988
 2017-Sep-05 14:18 *   303.8873 -47.2964
 2017-Sep-05 14:20 *   304.4270 -47.5921
 2017-Sep-05 14:22 *   304.9720 -47.8858
 2017-Sep-05 14:24 *   305.5224 -48.1775
 2017-Sep-05 14:26 *   306.0784 -48.4671
 2017-Sep-05 14:28 *   306.6400 -48.7546
 2017-Sep-05 14:30 *   307.2074 -49.0400
 2017-Sep-05 14:32 *   307.7805 -49.3231
 2017-Sep-05 14:34 *   308.3595 -49.6040
 2017-Sep-05 14:36 *   308.9445 -49.8825
 2017-Sep-05 14:38 *   309.5354 -50.1587
 2017-Sep-05 14:40 *   310.1326 -50.4325
 2017-Sep-05 14:42 *   310.7359 -50.7038
 2017-Sep-05 14:44 *   311.3454 -50.9725
 2017-Sep-05 14:46 *   311.9614 -51.2387
 2017-Sep-05 14:48 *   312.5837 -51.5022
 2017-Sep-05 14:50 *   313.2126 -51.7630
 2017-Sep-05 14:52 *   313.8480 -52.0211
 2017-Sep-05 14:54 *   314.4901 -52.2763
 2017-Sep-05 14:56 *   315.1388 -52.5286
 2017-Sep-05 14:58 *   315.7943 -52.7780
 2017-Sep-05 15:00 *   316.4567 -53.0244
 2017-Sep-05 15:02 *   317.1259 -53.2677
 2017-Sep-05 15:04 *   317.8021 -53.5079
 2017-Sep-05 15:06 *   318.4853 -53.7448
 2017-Sep-05 15:08 *   319.1755 -53.9785
 2017-Sep-05 15:10 *   319.8727 -54.2088
 2017-Sep-05 15:12 *   320.5771 -54.4357
 2017-Sep-05 15:14 *   321.2887 -54.6591
 2017-Sep-05 15:16 *   322.0074 -54.8790
 2017-Sep-05 15:18 *   322.7333 -55.0953
 2017-Sep-05 15:20 *   323.4664 -55.3079
 2017-Sep-05 15:22 *   324.2067 -55.5167
 2017-Sep-05 15:24 *   324.9542 -55.7216
 2017-Sep-05 15:26 *   325.7090 -55.9227
 2017-Sep-05 15:28 *   326.4710 -56.1198
 2017-Sep-05 15:30 *   327.2401 -56.3128
 2017-Sep-05 15:32 *   328.0165 -56.5017
 2017-Sep-05 15:34 *   328.7999 -56.6864
 2017-Sep-05 15:36 *   329.5905 -56.8668
 2017-Sep-05 15:38 *   330.3881 -57.0429
 2017-Sep-05 15:40 *   331.1926 -57.2146
 2017-Sep-05 15:42 *   332.0041 -57.3818
 2017-Sep-05 15:44 *   332.8224 -57.5444
 2017-Sep-05 15:46 *   333.6475 -57.7024
 2017-Sep-05 15:48 *   334.4792 -57.8557
 2017-Sep-05 15:50 *   335.3174 -58.0042
 2017-Sep-05 15:52 *   336.1621 -58.1478
 2017-Sep-05 15:54 *   337.0131 -58.2866
 2017-Sep-05 15:56 *   337.8702 -58.4203
 2017-Sep-05 15:58 *   338.7333 -58.5491
 2017-Sep-05 16:00 *   339.6023 -58.6727
 2017-Sep-05 16:02 *   340.4770 -58.7911
 2017-Sep-05 16:04 *   341.3572 -58.9043
 2017-Sep-05 16:06 *   342.2426 -59.0123
 2017-Sep-05 16:08 *   343.1332 -59.1148
 2017-Sep-05 16:10 *   344.0287 -59.2120
 2017-Sep-05 16:12 *   344.9288 -59.3037
 2017-Sep-05 16:14 *   345.8334 -59.3899
 2017-Sep-05 16:16 *   346.7422 -59.4706
 2017-Sep-05 16:18 *   347.6550 -59.5456
 2017-Sep-05 16:20 *   348.5715 -59.6150
 2017-Sep-05 16:22 *   349.4914 -59.6787
