 2017-Mar-05 06:38     298.2285  -6.5051
 2017-Mar-05 06:40     298.5618  -6.8230
 2017-Mar-05 06:42     298.8962  -7.1399
 2017-Mar-05 06:44     299.2318  -7.4556
 2017-Mar-05 06:46     299.5685  -7.7703
 2017-Mar-05 06:48     299.9065  -8.0840
 2017-Mar-05 06:50     300.2458  -8.3965
 2017-Mar-05 06:52     300.5863  -8.7079
 2017-Mar-05 06:54     300.9281  -9.0181
 2017-Mar-05 06:56     301.2711  -9.3272
 2017-Mar-05 06:58     301.6155  -9.6352
 2017-Mar-05 07:00     301.9612  -9.9419
 2017-Mar-05 07:02     302.3082 -10.2475
 2017-Mar-05 07:04     302.6566 -10.5519
 2017-Mar-05 07:06     303.0064 -10.8550
 2017-Mar-05 07:08     303.3576 -11.1569
 2017-Mar-05 07:10     303.7103 -11.4575
 2017-Mar-05 07:12     304.0643 -11.7569
 2017-Mar-05 07:14     304.4198 -12.0549
 2017-Mar-05 07:16     304.7768 -12.3517
 2017-Mar-05 07:18     305.1353 -12.6471
 2017-Mar-05 07:20     305.4953 -12.9412
 2017-Mar-05 07:22     305.8568 -13.2339
 2017-Mar-05 07:24     306.2198 -13.5253
 2017-Mar-05 07:26     306.5844 -13.8153
 2017-Mar-05 07:28     306.9506 -14.1038
 2017-Mar-05 07:30     307.3184 -14.3910
 2017-Mar-05 07:32     307.6878 -14.6767
 2017-Mar-05 07:34     308.0588 -14.9609
 2017-Mar-05 07:36     308.4314 -15.2436
 2017-Mar-05 07:38     308.8057 -15.5249
 2017-Mar-05 07:40     309.1817 -15.8046
 2017-Mar-05 07:42     309.5594 -16.0828
 2017-Mar-05 07:44     309.9388 -16.3595
 2017-Mar-05 07:46     310.3199 -16.6345
 2017-Mar-05 07:48     310.7027 -16.9080
 2017-Mar-05 07:50     311.0873 -17.1799
 2017-Mar-05 07:52     311.4736 -17.4501
 2017-Mar-05 07:54     311.8618 -17.7187
 2017-Mar-05 07:56     312.2517 -17.9856
 2017-Mar-05 07:58     312.6434 -18.2509
 2017-Mar-05 08:00     313.0369 -18.5144
 2017-Mar-05 08:02     313.4323 -18.7762
 2017-Mar-05 08:04     313.8295 -19.0363
 2017-Mar-05 08:06     314.2286 -19.2945
 2017-Mar-05 08:08     314.6295 -19.5510
 2017-Mar-05 08:10     315.0324 -19.8057
 2017-Mar-05 08:12     315.4371 -20.0586
 2017-Mar-05 08:14     315.8437 -20.3096
 2017-Mar-05 08:16     316.2523 -20.5587
 2017-Mar-05 08:18     316.6627 -20.8060
 2017-Mar-05 08:20     317.0751 -21.0513
 2017-Mar-05 08:22     317.4895 -21.2947
 2017-Mar-05 08:24     317.9058 -21.5361
 2017-Mar-05 08:26     318.3240 -21.7756
 2017-Mar-05 08:28     318.7442 -22.0131
 2017-Mar-05 08:30     319.1664 -22.2485
 2017-Mar-05 08:32     319.5906 -22.4819
 2017-Mar-05 08:34     320.0168 -22.7132
 2017-Mar-05 08:36     320.4450 -22.9425
 2017-Mar-05 08:38     320.8751 -23.1696
 2017-Mar-05 08:40     321.3073 -23.3946
 2017-Mar-05 08:42     321.7415 -23.6174
 2017-Mar-05 08:44     322.1777 -23.8381
 2017-Mar-05 08:46     322.6159 -24.0566
 2017-Mar-05 08:48     323.0562 -24.2728
