 2020-Dec-05 08:18  m  146.6071  67.5649
 2020-Dec-05 08:20  m  147.6875  67.7625
 2020-Dec-05 08:22  m  148.7844  67.9542
 2020-Dec-05 08:24  m  149.8979  68.1398
 2020-Dec-05 08:26  m  151.0277  68.3190
 2020-Dec-05 08:28  m  152.1737  68.4918
 2020-Dec-05 08:30  m  153.3357  68.6579
 2020-Dec-05 08:32  m  154.5133  68.8173
 2020-Dec-05 08:34  m  155.7064  68.9696
 2020-Dec-05 08:36  m  156.9145  69.1149
 2020-Dec-05 08:38  m  158.1371  69.2529
 2020-Dec-05 08:40  m  159.3739  69.3835
 2020-Dec-05 08:42  m  160.6243  69.5066
 2020-Dec-05 08:44  m  161.8876  69.6219
 2020-Dec-05 08:46  m  163.1634  69.7294
 2020-Dec-05 08:48  m  164.4508  69.8289
 2020-Dec-05 08:50  m  165.7492  69.9204
 2020-Dec-05 08:52  m  167.0577  70.0036
 2020-Dec-05 08:54  m  168.3755  70.0786
 2020-Dec-05 08:56  m  169.7018  70.1451
 2020-Dec-05 08:58  m  171.0355  70.2031
 2020-Dec-05 09:00  m  172.3758  70.2526
 2020-Dec-05 09:02  m  173.7216  70.2935
 2020-Dec-05 09:04  m  175.0720  70.3256
 2020-Dec-05 09:06  m  176.4258  70.3490
 2020-Dec-05 09:08  m  177.7819  70.3637
 2020-Dec-05 09:10  m  179.1394  70.3696
 2020-Dec-05 09:12  t  180.4971  70.3666
 2020-Dec-05 09:14  m  181.8540  70.3549
 2020-Dec-05 09:16  m  183.2089  70.3344
 2020-Dec-05 09:18  m  184.5607  70.3051
 2020-Dec-05 09:20  m  185.9085  70.2671
 2020-Dec-05 09:22  m  187.2512  70.2205
 2020-Dec-05 09:24  m  188.5877  70.1652
 2020-Dec-05 09:26  m  189.9171  70.1015
 2020-Dec-05 09:28  m  191.2384  70.0292
 2020-Dec-05 09:30  m  192.5508  69.9486
 2020-Dec-05 09:32  m  193.8534  69.8598
 2020-Dec-05 09:34  m  195.1453  69.7628
 2020-Dec-05 09:36  m  196.4259  69.6578
 2020-Dec-05 09:38  m  197.6943  69.5449
